n_cubes,overlap,clusterer,n_nodes,n_edges,n_components,n_cycles,overlap_ratio,mean_node_size,size_cv,graph_density,lcc_fraction,node_cohesion,cat_separation,size_penalty,composite_score,penalised_score
20,0.45,AdaptiveAgglom,2043,3119,460,1536,0.6798,2.17,1.699,0.0015,0.0587,0.0898,0.466,0.0,0.4433,0.0
20,0.4,AdaptiveAgglom,1669,2221,465,1017,0.6214,2.25,1.6939,0.0016,0.0539,0.0563,0.4505,0.0,0.3999,0.0
20,0.35,AdaptiveAgglom,1383,1643,443,703,0.5556,2.31,1.6355,0.0017,0.0564,0.0447,0.4433,0.0,0.3784,0.0
8,0.3,AdaptiveAgglom,1102,569,650,117,0.3662,2.03,2.1849,0.0009,0.0218,0.1411,0.5013,0.0,0.4293,0.0
8,0.25,AdaptiveAgglom,995,417,654,76,0.2979,2.03,2.0715,0.0008,0.0241,0.1508,0.5009,0.0,0.4263,0.0
8,0.2,AdaptiveAgglom,887,275,652,40,0.222,2.06,2.0192,0.0007,0.0349,0.1128,0.4949,0.0,0.3874,0.0
8,0.15,AdaptiveAgglom,829,206,658,35,0.1716,2.07,2.0224,0.0006,0.047,0.1125,0.4932,0.0,0.3834,0.0
8,0.1,AdaptiveAgglom,794,148,679,33,0.1192,2.03,1.9704,0.0005,0.0378,0.1238,0.4991,0.0,0.3819,0.0
8,0.6,HDBSCAN,580,1803,60,1283,0.7633,8.34,2.198,0.0107,0.3241,-0.003,0.1348,0.0001,0.3628,0.0
25,0.1,AdaptiveAgglom,640,244,435,39,0.1776,2.68,1.3326,0.0012,0.0203,0.0619,0.3852,0.0,0.29,0.0
20,0.85,AdaptiveAgglom,26619,505331,539,479251,0.97,1.78,2.335,0.0014,0.0654,0.0638,0.5727,0.0,0.6295,0.0
20,0.85,HDBSCAN,3690,78586,37,74933,0.9602,8.62,2.1309,0.0115,0.381,-0.0357,0.1331,0.0,0.411,0.0
20,0.85,AdaptiveDBSCAN,2012,39106,44,37138,0.9575,10.49,1.1509,0.0193,0.1024,0.0549,0.0968,0.0,0.3359,0.0
20,0.8,AdaptiveAgglom,15231,168983,517,154269,0.9499,1.86,2.2623,0.0015,0.0381,0.0742,0.546,0.0,0.5356,0.0
20,0.8,HDBSCAN,2216,28200,44,26028,0.9362,8.78,1.9221,0.0115,0.3032,0.0059,0.131,0.0,0.3929,0.0
20,0.8,AdaptiveDBSCAN,1231,14348,45,13162,0.9317,10.91,1.0403,0.019,0.091,0.0548,0.0936,0.0,0.3199,0.0
20,0.75,AdaptiveAgglom,10212,74917,531,65236,0.9263,1.89,2.1135,0.0014,0.0614,0.0913,0.5384,0.0,0.5307,0.0
20,0.75,HDBSCAN,1491,12871,33,11413,0.9047,9.02,1.7719,0.0116,0.3005,-0.0141,0.1215,0.0,0.3642,0.0
20,0.75,AdaptiveDBSCAN,855,6519,45,5709,0.9031,10.83,0.9361,0.0179,0.1193,0.0919,0.0928,0.0,0.3532,0.0
20,0.7,AdaptiveAgglom,7094,38184,510,31600,0.8972,1.95,2.0201,0.0015,0.0505,0.0685,0.5231,0.0,0.4899,0.0
20,0.7,HDBSCAN,1071,7010,37,5976,0.8748,9.41,1.6454,0.0122,0.3604,-0.0114,0.1211,0.0,0.3855,0.0
20,0.7,AdaptiveDBSCAN,668,3834,43,3209,0.8676,10.4,0.886,0.0172,0.1317,0.0838,0.1055,0.0,0.3513,0.0
20,0.65,AdaptiveAgglom,5160,19950,486,15276,0.8621,1.99,1.9639,0.0015,0.0599,0.0954,0.5087,0.0,0.4987,0.0
20,0.65,HDBSCAN,867,3943,44,3120,0.833,8.44,1.4005,0.0105,0.2537,-0.0034,0.133,0.0,0.3435,0.0
50,0.6,HDBSCAN,982,4669,30,3717,0.7999,6.85,0.7387,0.0097,0.2668,-0.0286,0.1548,0.0,0.3339,0.0
7,0.8,AdaptiveAgglom,12040,92244,727,80931,0.931,1.71,2.4624,0.0013,0.0137,0.1217,0.5966,0.0,0.5618,0.0
7,0.8,HDBSCAN,1637,13500,75,11938,0.9152,8.15,2.4779,0.0101,0.2169,0.0787,0.139,0.0,0.4075,0.0
7,0.8,AdaptiveDBSCAN,901,6606,61,5766,0.9188,9.65,1.3394,0.0163,0.0499,0.1308,0.1065,0.0,0.3611,0.0
7,0.75,AdaptiveAgglom,8159,42863,717,35421,0.8987,1.72,2.3974,0.0013,0.0199,0.1091,0.5923,0.0,0.5373,0.0
7,0.75,HDBSCAN,1069,6273,56,5260,0.8755,8.75,2.5859,0.011,0.3704,-0.0022,0.1312,0.0,0.4009,0.0
7,0.75,AdaptiveDBSCAN,623,3138,62,2577,0.8795,9.62,1.2884,0.0162,0.061,0.1453,0.1036,0.0,0.3684,0.0
7,0.7,AdaptiveAgglom,5987,22446,701,17160,0.864,1.74,2.3969,0.0013,0.0301,0.1005,0.5847,0.0,0.5221,0.0
7,0.7,HDBSCAN,855,3566,73,2784,0.8389,7.99,2.3001,0.0098,0.2865,0.0085,0.1434,0.0,0.3716,0.0
5,0.1,AdaptiveAgglom,912,242,700,30,0.1864,1.91,2.2905,0.0006,0.0121,0.137,0.5308,0.0,0.405,0.0
7,0.65,AdaptiveAgglom,5076,15490,735,11149,0.8369,1.71,2.336,0.0012,0.0177,0.1417,0.5917,0.0,0.5449,0.0
7,0.65,HDBSCAN,671,2262,75,1666,0.8045,8.46,2.16,0.0101,0.149,-0.0007,0.1323,0.0,0.2955,0.0
7,0.6,AdaptiveAgglom,4058,10774,697,7413,0.8001,1.75,2.3833,0.0013,0.035,0.1268,0.5822,0.0,0.5302,0.0
25,0.3,AdaptiveAgglom,1180,1263,405,488,0.5136,2.47,1.4868,0.0018,0.0517,0.0642,0.408,0.0,0.3696,0.0
25,0.25,AdaptiveAgglom,994,909,394,309,0.4394,2.54,1.426,0.0018,0.0473,0.0538,0.3968,0.0,0.343,0.0
25,0.2,AdaptiveAgglom,838,627,396,185,0.3586,2.63,1.4038,0.0018,0.0286,0.0299,0.3867,0.0,0.2997,0.0
25,0.15,AdaptiveAgglom,712,396,404,88,0.2641,2.7,1.3506,0.0016,0.0295,0.0479,0.3833,0.0,0.2967,0.0
25,0.65,HDBSCAN,905,4495,37,3627,0.8378,8.74,1.2543,0.011,0.3569,0.0052,0.1271,0.0,0.3925,0.0
25,0.65,AdaptiveDBSCAN,593,2644,34,2085,0.8236,9.87,0.7421,0.0151,0.1197,0.0464,0.1079,0.0,0.3115,0.0
25,0.6,AdaptiveAgglom,3839,12648,400,9209,0.826,2.12,1.7618,0.0017,0.1076,0.0721,0.4778,0.0,0.4814,0.0
25,0.6,HDBSCAN,699,2923,32,2256,0.7932,8.77,1.1592,0.012,0.3448,0.0263,0.1227,0.0,0.3938,0.0
5,0.55,AdaptiveAgglom,2665,3983,750,2068,0.6898,1.72,2.3441,0.0011,0.0124,0.1338,0.5957,0.0,0.5122,0.0
25,0.55,AdaptiveAgglom,2990,7350,413,4773,0.7803,2.16,1.7081,0.0016,0.095,0.0636,0.4691,0.0,0.4575,0.0
25,0.55,HDBSCAN,583,1955,36,1408,0.741,8.45,1.1076,0.0115,0.2436,0.0129,0.132,0.0,0.3356,0.0
25,0.5,AdaptiveAgglom,2446,4261,428,2243,0.7386,2.22,1.7072,0.0014,0.076,0.0591,0.4558,0.0,0.4331,0.0
50,0.6,AdaptiveDBSCAN,689,3099,19,2429,0.7913,8.39,0.566,0.0131,0.1698,0.0183,0.1188,0.0,0.3111,0.0
25,0.45,AdaptiveAgglom,2000,3182,422,1604,0.6923,2.31,1.656,0.0016,0.07,0.0639,0.4375,0.0,0.4188,0.0
50,0.55,AdaptiveAgglom,2522,7718,202,5398,0.7917,2.7,1.3132,0.0024,0.1265,0.0039,0.374,0.0,0.3885,0.0
25,0.4,AdaptiveAgglom,1705,2431,418,1144,0.6421,2.33,1.602,0.0017,0.0639,0.0421,0.4373,0.0,0.3914,0.0
25,0.35,AdaptiveAgglom,1397,1758,392,753,0.5765,2.4,1.5485,0.0018,0.0508,0.0612,0.418,0.0,0.3814,0.0
7,0.85,AdaptiveAgglom,19022,233878,707,215563,0.9561,1.7,2.5768,0.0013,0.0168,0.0736,0.5991,0.0,0.5634,0.0
7,0.85,HDBSCAN,1360,24489,2,23131,0.9461,19.35,4.045,0.0265,0.5963,-0.0131,0.0581,0.0,0.4745,0.0
7,0.85,AdaptiveDBSCAN,1346,15655,61,14370,0.9458,10.01,1.3969,0.0173,0.055,0.1157,0.0993,0.0,0.3553,0.0
7,0.45,AdaptiveAgglom,1820,1944,649,773,0.5914,1.91,2.2663,0.0012,0.0258,0.0976,0.5316,0.0,0.4477,0.0
7,0.4,AdaptiveAgglom,1407,1057,645,295,0.4918,1.98,2.2945,0.0011,0.0199,0.0999,0.5113,0.0,0.4221,0.0
7,0.35,AdaptiveAgglom,1209,672,649,112,0.4148,2.01,2.1828,0.0009,0.0281,0.1032,0.5004,0.0,0.411,0.0
25,0.85,AdaptiveAgglom,27131,544737,497,518103,0.9714,1.83,2.2857,0.0015,0.082,0.0695,0.5553,0.0,0.6429,0.0
25,0.85,HDBSCAN,3744,90647,23,86926,0.9624,9.36,2.1983,0.0129,0.395,-0.018,0.1189,0.0,0.4276,0.0
25,0.85,AdaptiveDBSCAN,2091,43878,37,41824,0.9595,10.96,1.0622,0.0201,0.1449,0.087,0.0923,0.0,0.3778,0.0
25,0.8,AdaptiveAgglom,15840,187798,484,172442,0.9528,1.9,2.1672,0.0015,0.0985,0.0646,0.5345,0.0,0.5541,0.0
25,0.8,HDBSCAN,2251,32334,23,30106,0.9396,9.7,1.7593,0.0128,0.39,-0.0235,0.1147,0.0,0.4026,0.0
25,0.8,AdaptiveDBSCAN,1289,15771,38,14520,0.9348,11.24,0.9466,0.019,0.204,0.0625,0.0891,0.0,0.3729,0.0
25,0.75,AdaptiveAgglom,10229,78424,505,68700,0.9292,1.96,2.0469,0.0015,0.082,0.0729,0.5175,0.0,0.5182,0.0
25,0.75,HDBSCAN,1505,13695,37,12227,0.9109,9.64,1.6036,0.0121,0.3123,-0.0163,0.1164,0.0,0.3667,0.0
25,0.75,AdaptiveDBSCAN,950,7620,48,6718,0.9082,10.71,0.8765,0.0169,0.1926,0.0824,0.0974,0.0,0.3803,0.0
25,0.7,AdaptiveAgglom,7132,40687,457,34012,0.9013,2.02,1.9018,0.0016,0.0796,0.0701,0.502,0.0,0.496,0.0
25,0.7,HDBSCAN,1161,7873,32,6744,0.8789,9.06,1.3526,0.0117,0.3928,-0.0076,0.1234,0.0,0.404,0.0
25,0.7,AdaptiveDBSCAN,735,4463,41,3769,0.871,10.22,0.8067,0.0165,0.1293,0.0754,0.1009,0.0,0.3427,0.0
25,0.65,AdaptiveAgglom,5099,21117,395,16413,0.8674,2.1,1.7871,0.0016,0.0847,0.0638,0.4851,0.0,0.4768,0.0
50,0.55,HDBSCAN,807,2999,31,2223,0.7513,6.71,0.7074,0.0092,0.176,-0.0242,0.1525,0.0,0.2892,0.0
30,0.35,AdaptiveAgglom,1275,1682,344,751,0.5614,2.53,1.41,0.0021,0.0627,0.0368,0.4002,0.0,0.3582,0.0
30,0.3,AdaptiveAgglom,1090,1214,367,491,0.493,2.56,1.3767,0.002,0.078,0.0689,0.3926,0.0,0.3746,0.0
30,0.25,AdaptiveAgglom,930,876,361,307,0.4235,2.64,1.3311,0.002,0.0516,0.0414,0.3814,0.0,0.3266,0.0
30,0.2,AdaptiveAgglom,787,574,358,145,0.3431,2.73,1.2844,0.0019,0.0407,0.0728,0.3656,0.0,0.3258,0.0
30,0.15,AdaptiveAgglom,676,418,343,85,0.2686,2.86,1.2447,0.0018,0.0385,0.0813,0.3529,0.0,0.3138,0.0
30,0.1,AdaptiveAgglom,592,273,360,41,0.1848,2.93,1.2065,0.0016,0.0287,0.0464,0.3388,0.0,0.2638,0.0
7,0.3,AdaptiveAgglom,1084,443,676,35,0.3378,1.98,2.1443,0.0008,0.0203,0.0978,0.5128,0.0,0.3962,0.0
7,0.25,AdaptiveAgglom,997,324,678,5,0.2734,1.96,2.1402,0.0007,0.0191,0.0779,0.5199,0.0,0.3731,0.0
7,0.2,AdaptiveAgglom,932,253,682,3,0.2259,1.97,2.1621,0.0006,0.0182,0.1076,0.519,0.0,0.387,0.0
7,0.15,AdaptiveAgglom,874,187,687,0,0.1711,1.96,2.1153,0.0005,0.0195,0.1164,0.524,0.0,0.3873,0.0
7,0.1,AdaptiveAgglom,829,128,701,0,0.1159,1.94,2.0708,0.0004,0.0193,0.1187,0.5304,0.0,0.3826,0.0
7,0.6,HDBSCAN,579,1688,80,1189,0.7649,8.04,2.0798,0.0101,0.1485,-0.0177,0.1425,0.0001,0.2801,0.0
7,0.55,AdaptiveAgglom,3157,6609,665,4117,0.744,1.76,2.3818,0.0013,0.0519,0.1103,0.5811,0.0,0.5147,0.0
50,0.55,AdaptiveDBSCAN,579,2151,20,1592,0.7411,8.1,0.5036,0.0129,0.1779,0.0154,0.1216,0.0001,0.3052,0.0
7,0.5,AdaptiveAgglom,2401,3318,659,1576,0.6779,1.83,2.2952,0.0012,0.0267,0.0954,0.5535,0.0,0.4698,0.0
30,0.7,HDBSCAN,1206,8724,29,7547,0.8777,8.87,1.2498,0.012,0.3781,-0.0098,0.1263,0.0,0.3973,0.0
30,0.7,AdaptiveDBSCAN,808,5262,34,4488,0.8688,9.85,0.7389,0.0161,0.146,0.0587,0.1081,0.0,0.34,0.0
30,0.65,AdaptiveAgglom,5050,21346,366,16662,0.8696,2.16,1.7416,0.0017,0.0891,0.0374,0.471,0.0,0.4534,0.0
30,0.65,HDBSCAN,980,5134,32,4186,0.8413,8.31,1.1332,0.0107,0.3531,-0.0199,0.1345,0.0,0.3757,0.0
30,0.65,AdaptiveDBSCAN,640,2966,33,2359,0.8273,9.61,0.7147,0.0145,0.1828,0.0313,0.1101,0.0,0.3287,0.0
30,0.6,AdaptiveAgglom,3803,12884,374,9455,0.8319,2.22,1.6609,0.0018,0.1028,0.0375,0.4604,0.0,0.447,0.0
30,0.6,HDBSCAN,769,3348,33,2612,0.7981,8.41,1.0372,0.0113,0.238,-0.01,0.1314,0.0,0.3253,0.0
50,0.5,AdaptiveAgglom,1933,3999,180,2246,0.7418,2.83,1.2426,0.0021,0.1231,-0.0055,0.3542,0.0,0.3629,0.0
30,0.55,AdaptiveAgglom,2967,7943,366,5342,0.79,2.28,1.6065,0.0018,0.1358,0.0381,0.4464,0.0,0.448,0.0
30,0.55,HDBSCAN,667,2247,42,1622,0.7475,7.53,0.9231,0.0101,0.1964,0.0045,0.1525,0.0,0.3187,0.0
50,0.5,HDBSCAN,688,1656,29,997,0.6992,6.53,0.6651,0.007,0.2834,-0.0339,0.1591,0.0,0.3217,0.0
30,0.5,AdaptiveAgglom,2335,4231,370,2266,0.7397,2.33,1.5987,0.0016,0.0535,0.0302,0.4355,0.0,0.3934,0.0
30,0.5,HDBSCAN,550,1188,47,685,0.6961,7.51,0.9349,0.0079,0.1455,0.0076,0.1517,0.0001,0.2904,0.0
30,0.45,AdaptiveAgglom,1842,2982,359,1499,0.6833,2.43,1.5799,0.0018,0.108,0.051,0.4161,0.0,0.4149,0.0
50,0.45,AdaptiveAgglom,1546,2873,187,1514,0.6852,2.91,1.1774,0.0024,0.119,-0.0022,0.3419,0.0,0.3491,0.0
30,0.4,AdaptiveAgglom,1507,2184,351,1028,0.6242,2.5,1.4823,0.0019,0.0776,0.0506,0.4022,0.0,0.3861,0.0
6,0.7,AdaptiveAgglom,5748,20846,706,15804,0.8577,1.73,2.4088,0.0013,0.035,0.1392,0.588,0.0,0.5533,0.0
6,0.7,HDBSCAN,842,3144,95,2397,0.8361,7.56,2.2565,0.0089,0.2209,0.0691,0.1505,0.0,0.3916,0.0
50,0.45,HDBSCAN,603,1302,31,730,0.6432,6.19,0.6506,0.0072,0.1526,-0.0339,0.169,0.0,0.2607,0.0
6,0.65,AdaptiveAgglom,4925,14490,734,10299,0.8337,1.73,2.3458,0.0012,0.0162,0.1332,0.5841,0.0,0.534,0.0
6,0.65,HDBSCAN,654,2054,84,1484,0.8091,8.68,2.3481,0.0096,0.133,0.0469,0.1285,0.0,0.3236,0.0
6,0.6,AdaptiveAgglom,3824,8899,713,5788,0.7845,1.72,2.3771,0.0012,0.0212,0.1136,0.5907,0.0,0.515,0.0
30,0.85,AdaptiveAgglom,27809,586243,474,558908,0.9727,1.87,2.2022,0.0015,0.1221,0.0811,0.5436,0.0,0.6736,0.0
30,0.85,HDBSCAN,3986,100588,15,96617,0.9636,9.24,1.8989,0.0127,0.4571,-0.0795,0.1233,0.0,0.4121,0.0
30,0.85,AdaptiveDBSCAN,2286,51090,35,48839,0.9616,10.85,0.9987,0.0196,0.2025,0.0457,0.0954,0.0,0.3746,0.0
30,0.8,AdaptiveAgglom,15946,195700,467,180221,0.9544,1.95,2.0404,0.0015,0.1396,0.0594,0.5196,0.0,0.5636,0.0
30,0.8,HDBSCAN,2420,35233,25,32838,0.941,9.22,1.5829,0.012,0.4132,-0.0358,0.1204,0.0,0.4065,0.0
30,0.8,AdaptiveDBSCAN,1467,18913,36,17482,0.9387,10.73,0.8764,0.0176,0.2597,0.0655,0.0981,0.0,0.404,0.0
30,0.75,AdaptiveAgglom,10138,81520,382,71764,0.9305,2.01,1.9187,0.0016,0.1166,0.0226,0.5019,0.0,0.4896,0.0
30,0.75,HDBSCAN,1602,15357,25,13780,0.9118,9.37,1.4026,0.012,0.3876,-0.002,0.1192,0.0,0.4113,0.0
30,0.75,AdaptiveDBSCAN,1043,8949,29,7935,0.902,10.24,0.8142,0.0165,0.1611,0.0147,0.1001,0.0,0.3163,0.0
30,0.7,AdaptiveAgglom,7000,41506,382,34888,0.9026,2.08,1.7997,0.0017,0.093,0.0586,0.4882,0.0,0.4878,0.0
6,0.4,AdaptiveAgglom,1602,1419,701,518,0.5127,1.82,2.2752,0.0011,0.0306,0.0956,0.561,0.0,0.4476,0.0
6,0.35,AdaptiveAgglom,1357,972,691,306,0.4413,1.87,2.2104,0.0011,0.0177,0.1009,0.5387,0.0,0.4251,0.0
35,0.3,AdaptiveAgglom,970,1130,283,443,0.4972,2.9,1.2853,0.0024,0.0835,0.0357,0.3428,0.0,0.3319,0.0
35,0.25,AdaptiveAgglom,827,767,309,249,0.4167,2.93,1.2332,0.0022,0.0677,0.0326,0.3399,0.0,0.3084,0.0
35,0.2,AdaptiveAgglom,720,533,333,146,0.3422,2.98,1.2028,0.0021,0.0431,0.0318,0.3368,0.0,0.2839,0.0
35,0.15,AdaptiveAgglom,622,355,339,72,0.2648,3.08,1.1569,0.0018,0.0338,0.0433,0.3216,0.0,0.2696,0.0
35,0.1,AdaptiveAgglom,553,226,352,25,0.1826,3.11,1.1201,0.0015,0.0253,0.0455,0.3202,0.0001,0.2536,0.0
6,0.85,AdaptiveAgglom,17650,195092,708,178150,0.9523,1.69,2.6185,0.0013,0.0186,0.0775,0.6028,0.0,0.5593,0.0
6,0.85,HDBSCAN,675,12355,2,11682,0.9473,39.87,3.3157,0.0543,0.5852,0.001,0.0276,0.0,0.4652,0.0
6,0.85,AdaptiveDBSCAN,1201,12403,59,11261,0.9407,10.19,1.416,0.0172,0.055,0.1112,0.0967,0.0,0.3493,0.0
6,0.8,AdaptiveAgglom,11619,85033,718,74132,0.9285,1.71,2.522,0.0013,0.0167,0.1189,0.5971,0.0,0.5592,0.0
6,0.8,HDBSCAN,1074,10519,2,9447,0.9058,14.02,4.0913,0.0183,0.5819,0.0478,0.0813,0.0,0.5141,0.0
6,0.8,AdaptiveDBSCAN,840,5719,63,4942,0.914,9.95,1.358,0.0162,0.0452,0.1125,0.1035,0.0,0.3431,0.0
6,0.75,AdaptiveAgglom,7290,33242,724,26676,0.8864,1.71,2.4764,0.0013,0.0147,0.122,0.5965,0.0,0.5425,0.0
6,0.75,HDBSCAN,930,5037,38,4145,0.8557,9.02,2.9048,0.0117,0.3591,-0.0745,0.1277,0.0,0.3367,0.0
50,0.4,AdaptiveAgglom,1243,2099,184,1040,0.6197,2.99,1.1415,0.0027,0.1376,-0.0119,0.3302,0.0,0.3341,0.0
35,0.6,HDBSCAN,803,3478,28,2703,0.7938,7.92,0.9393,0.0108,0.2951,-0.0037,0.1395,0.0,0.3571,0.0
35,0.6,AdaptiveDBSCAN,546,2236,29,1719,0.7792,9.22,0.6507,0.015,0.2527,0.0473,0.1166,0.0001,0.3653,0.0
35,0.55,AdaptiveAgglom,2861,7950,302,5391,0.7894,2.35,1.5666,0.0019,0.0944,0.0459,0.4324,0.0,0.4303,0.0
35,0.55,HDBSCAN,669,2362,34,1727,0.7469,7.75,0.8756,0.0106,0.1674,0.0163,0.143,0.0,0.3112,0.0
50,0.35,AdaptiveAgglom,1028,1546,196,714,0.5547,3.08,1.0739,0.0029,0.0856,0.0185,0.319,0.0,0.3194,0.0
35,0.5,AdaptiveAgglom,2192,4106,307,2221,0.7399,2.49,1.4926,0.0017,0.1036,0.0329,0.4098,0.0,0.4062,0.0
35,0.5,HDBSCAN,585,1319,37,771,0.6921,7.17,0.7765,0.0077,0.2462,0.0136,0.1532,0.0,0.3379,0.0
35,0.45,AdaptiveAgglom,1742,2926,307,1491,0.6882,2.61,1.4351,0.0019,0.101,0.0098,0.3902,0.0,0.371,0.0
5,0.75,AdaptiveAgglom,6734,28531,724,22521,0.8776,1.72,2.4606,0.0013,0.0144,0.1138,0.5927,0.0,0.5322,0.0
35,0.4,AdaptiveAgglom,1428,2078,319,969,0.6268,2.66,1.3825,0.002,0.0952,0.014,0.382,0.0,0.3581,0.0
11,0.85,AdaptiveDBSCAN,1697,25055,58,23416,0.9546,9.72,1.2935,0.0174,0.0766,0.1143,0.1059,0.0,0.3698,0.0
35,0.35,AdaptiveAgglom,1156,1531,292,667,0.5662,2.82,1.3413,0.0023,0.083,0.0273,0.3581,0.0,0.343,0.0
11,0.8,AdaptiveAgglom,14258,135136,710,121588,0.9427,1.74,2.3579,0.0013,0.0168,0.1457,0.584,0.0,0.5873,0.0
6,0.55,AdaptiveAgglom,2959,5047,741,2829,0.7235,1.73,2.3527,0.0012,0.0182,0.0883,0.5891,0.0,0.4834,0.0
6,0.5,AdaptiveAgglom,2346,2874,751,1279,0.6559,1.76,2.331,0.001,0.0141,0.1264,0.5824,0.0,0.4961,0.0
6,0.45,AdaptiveAgglom,1888,1978,713,803,0.5808,1.79,2.3131,0.0011,0.0291,0.1071,0.569,0.0,0.4701,0.0
35,0.85,AdaptiveAgglom,28101,610731,452,583082,0.9736,1.91,2.1353,0.0015,0.1462,0.0389,0.5327,0.0,0.6534,0.0
35,0.85,HDBSCAN,4008,103374,23,99389,0.9651,9.63,1.7186,0.0129,0.3932,-0.013,0.1141,0.0,0.4319,0.0
35,0.85,AdaptiveDBSCAN,2409,55146,34,52771,0.9629,10.93,0.9449,0.019,0.2341,0.0497,0.0977,0.0,0.3932,0.0
35,0.8,AdaptiveAgglom,16088,204113,391,188416,0.9555,1.98,1.9483,0.0016,0.1724,0.0639,0.5109,0.0,0.5795,0.0
35,0.8,HDBSCAN,2517,38092,16,35591,0.9421,9.22,1.438,0.012,0.4335,-0.0165,0.1184,0.0,0.4297,0.0
35,0.8,AdaptiveDBSCAN,1609,21241,28,19660,0.9372,10.22,0.8389,0.0164,0.2672,0.0521,0.102,0.0,0.399,0.0
35,0.75,AdaptiveAgglom,10020,82692,358,73030,0.932,2.08,1.8303,0.0016,0.162,0.0357,0.4875,0.0,0.5134,0.0
35,0.75,HDBSCAN,1704,16801,28,15125,0.9151,9.0,1.2579,0.0116,0.365,-0.0052,0.1246,0.0,0.4023,0.0
35,0.75,AdaptiveDBSCAN,1128,10050,27,8949,0.9064,10.08,0.746,0.0158,0.2908,0.0209,0.1029,0.0,0.3784,0.0
35,0.7,AdaptiveAgglom,6827,41900,331,35404,0.9038,2.16,1.7057,0.0018,0.2314,0.0331,0.4681,0.0,0.5196,0.0
35,0.7,HDBSCAN,1327,10073,28,8774,0.8815,8.29,1.1221,0.0114,0.2532,-0.0231,0.1323,0.0,0.3373,0.0
35,0.7,AdaptiveDBSCAN,867,5779,28,4940,0.8685,9.59,0.6869,0.0154,0.376,0.0242,0.1061,0.0,0.4115,0.0
35,0.65,AdaptiveAgglom,4995,21569,340,16914,0.8706,2.2,1.6806,0.0017,0.1311,0.0352,0.4643,0.0,0.4671,0.0
35,0.65,HDBSCAN,1009,5220,27,4238,0.8403,8.08,0.996,0.0103,0.336,0.0267,0.1379,0.0,0.4048,0.0
35,0.65,AdaptiveDBSCAN,681,3252,27,2598,0.8284,9.33,0.6847,0.014,0.2247,0.0258,0.1183,0.0,0.3461,0.0
35,0.6,AdaptiveAgglom,3708,13069,311,9672,0.8319,2.28,1.6223,0.0019,0.1346,0.0402,0.4457,0.0,0.4566,0.0
40,0.45,AdaptiveAgglom,1713,3093,241,1621,0.689,2.66,1.3367,0.0021,0.1232,0.0322,0.3844,0.0,0.3951,0.0
11,0.8,HDBSCAN,1951,20385,54,18488,0.9275,8.42,2.5266,0.0107,0.3121,-0.0141,0.134,0.0,0.3797,0.0
40,0.4,AdaptiveAgglom,1400,2254,255,1109,0.6318,2.75,1.2785,0.0023,0.1371,0.0247,0.3704,0.0,0.3801,0.0
11,0.8,AdaptiveDBSCAN,1104,10112,62,9070,0.9327,9.74,1.2425,0.0166,0.0679,0.1577,0.106,0.0,0.3919,0.0
40,0.35,AdaptiveAgglom,1159,1653,263,757,0.571,2.85,1.2325,0.0025,0.0656,0.03,0.3503,0.0,0.3352,0.0
11,0.75,AdaptiveAgglom,9517,61091,645,52219,0.9149,1.75,2.3281,0.0013,0.0379,0.0815,0.5818,0.0,0.5264,0.0
40,0.3,AdaptiveAgglom,957,1207,256,506,0.508,3.01,1.1994,0.0026,0.0627,0.008,0.3296,0.0,0.2985,0.0
40,0.25,AdaptiveAgglom,805,868,260,323,0.4342,3.1,1.1504,0.0027,0.0783,0.0288,0.3256,0.0,0.307,0.0
40,0.2,AdaptiveAgglom,716,623,282,189,0.3564,3.07,1.1247,0.0024,0.0489,0.017,0.3303,0.0,0.2748,0.0
40,0.15,AdaptiveAgglom,611,429,285,103,0.2731,3.18,1.0642,0.0023,0.0475,0.0135,0.318,0.0,0.2529,0.0
40,0.1,AdaptiveAgglom,530,226,330,26,0.1697,3.2,1.0381,0.0016,0.0264,0.0266,0.3149,0.0002,0.2356,0.0
6,0.3,AdaptiveAgglom,1151,654,664,167,0.3671,1.95,2.1623,0.001,0.0217,0.1045,0.5232,0.0,0.4109,0.0
6,0.25,AdaptiveAgglom,1019,456,662,99,0.2972,1.98,2.1219,0.0009,0.0255,0.0955,0.5121,0.0,0.3898,0.0
6,0.2,AdaptiveAgglom,926,298,672,44,0.2237,1.97,2.2015,0.0007,0.0151,0.1034,0.5115,0.0,0.379,0.0
6,0.15,AdaptiveAgglom,824,188,656,20,0.1488,2.02,2.1332,0.0006,0.0206,0.1103,0.4975,0.0,0.3685,0.0
6,0.1,AdaptiveAgglom,792,120,680,8,0.0962,1.98,2.1132,0.0004,0.0139,0.088,0.5062,0.0,0.3439,0.0
40,0.75,AdaptiveDBSCAN,1204,11075,29,9900,0.9066,9.76,0.7027,0.0153,0.3995,0.0337,0.1074,0.0,0.4366,0.0
40,0.7,AdaptiveAgglom,6744,42663,306,36225,0.9058,2.23,1.6851,0.0019,0.1403,0.0378,0.4538,0.0,0.4788,0.0
40,0.7,HDBSCAN,1384,10849,21,9486,0.8811,8.11,0.9958,0.0113,0.435,-0.0204,0.1372,0.0,0.4192,0.0
40,0.7,AdaptiveDBSCAN,929,6694,30,5795,0.8721,9.49,0.6774,0.0155,0.2497,0.0302,0.1102,0.0,0.3646,0.0
