n_cubes,overlap,clusterer,n_nodes,n_edges,n_components,n_cycles,overlap_ratio,mean_node_size,size_cv,graph_density,lcc_fraction,node_cohesion,cat_separation,size_penalty,composite_score,penalised_score
30,0.5,AdaptiveDBSCAN,369,742,36,409,0.682,9.04,0.6534,0.0109,0.122,0.0255,0.1181,0.0274,0.2775,0.0076
11,0.5,HDBSCAN,379,680,51,352,0.6493,9.28,1.7066,0.0095,0.2559,0.0035,0.1236,0.0204,0.3151,0.0064
6,0.65,AdaptiveDBSCAN,384,1109,62,787,0.8107,9.64,1.2408,0.0151,0.0625,0.1313,0.1009,0.0176,0.3457,0.0061
40,0.3,HDBSCAN,369,553,50,234,0.4587,6.4,0.6485,0.0081,0.1192,-0.0255,0.1644,0.0274,0.2207,0.006
10,0.65,AdaptiveDBSCAN,382,1230,50,898,0.7924,10.91,1.0949,0.0169,0.0812,0.0968,0.0917,0.0187,0.3209,0.006
50,0.4,AdaptiveDBSCAN,383,713,33,363,0.5523,7.21,0.4761,0.0097,0.201,0.0261,0.1348,0.0182,0.2975,0.0054
40,0.45,AdaptiveDBSCAN,384,753,31,400,0.6183,8.12,0.5281,0.0102,0.1693,0.0322,0.1324,0.0176,0.2983,0.0053
25,0.55,AdaptiveDBSCAN,392,1108,40,756,0.7231,9.38,0.7032,0.0145,0.2117,0.0711,0.1136,0.0139,0.3551,0.0049
6,0.55,HDBSCAN,390,779,63,452,0.6788,8.96,2.5771,0.0103,0.2641,-0.0164,0.1274,0.0148,0.31,0.0046
5,0.55,HDBSCAN,387,663,84,360,0.6364,7.72,2.3513,0.0089,0.1654,-0.0042,0.1511,0.0161,0.2799,0.0045
35,0.35,HDBSCAN,388,608,55,275,0.5126,6.54,0.658,0.0081,0.1572,0.0191,0.1661,0.0157,0.28,0.0044
25,0.4,HDBSCAN,388,690,58,360,0.5848,7.71,0.9362,0.0092,0.1418,0.0148,0.1422,0.0157,0.2721,0.0043
8,0.65,AdaptiveDBSCAN,397,1235,58,896,0.815,9.97,1.2222,0.0157,0.073,0.1197,0.1071,0.012,0.3448,0.0041
